,category,submitted_by,published,updated,proposal/needed,Resources to be saved or improved,Benefits,Technology type,Technical fields,Stage of development,Project summary
Improvement relating to electric generators,Energy,Munjeri. T,"February 16, 2017","February 17, 2017",proposal,"Solid Fuel, Oil, Natural gas, Electricity","Unlocks power previously unrecognized
Revolutionary design improves efficiency
Electric generator of the future due to reduced emissions
Can be used in any power plant size
Can be used for small generators, hydro, wind and thermal power plants",Device or equipment,Energy > Energy generation (Others),Under R & D,Collaboration needed for experimentation stage
Improvements in Horizontal-Axis Wind Turbines,Energy,Massachusetts Institute of Technology (MIT),"December 15, 2015","December 15, 2015",proposal,,"1) Make nacelle lighter and smaller by removing gear transmission and moving generator to a location on the main support, near ground level


2) Greater reliability because step-up gear transmission is the main cause of turbine downtime


3) Easier to service


4) Lower installation costs


5) Increased efficiency by eliminating gear losses",,Energy > Wind,,
Improvements in Thin-Film Membranes for Fuel Cells,Energy,Georgia Tech Research Corp,"December 15, 2015","December 15, 2015",proposal,,"1) Fuel cells can be used in electronic devices with small power requirements


2) Fuel cells can operate on alternative hydrocarbon sources, specifically methane or methane-water blends


3) The fuel cell membrane and the micro-fuel cell can be directly integrated into the electronic device",,Energy > Fuel cells,,
Improvements on Horizontal-Axis Wind Turbines,Energy,Massachusetts Institute of Technology- Technology Licensing Office,"April 25, 2012","April 25, 2012",proposal,"Land, Other","Make nacelle lighter and smaller by removing gear transmission and moving generator to a location on the main support, near ground level.  Greater reliability because step-up gear transmission is the main cause of turbine downtime.  Easier to service.  Lower installation costs.",Design,Energy > Solar,At usable level,
Improvements to Producing Biofuel from Cyanobacteria,Energy,"University of California, Berkeley (UC Berkeley)","April 21, 2017","April 21, 2017",proposal,,"This is enabling technology that increases the photosynthetic productivity of cyanobacteria, and therefore it will lower the cost of producing isoprene, beta-phellandrene and other chemicals from the photosynthesis of cyanobacteria.",,Energy > Biomass/Bioenergy,,
Improving Biomass Conversion Efficiency by Modifying Lignin so Plant Cell Walls Are More Digestible and Fermentable,Energy,Wisconsin Alumni Research Foundation (WARF),"December 15, 2015","December 15, 2015",proposal,,"1) By reducing the severity of the required pretreatment step, this discovery should lead to savings in both energy costs and water consumption.


2) May enable sustainable local processing without massive facility costs


3) Processing low-density plant materials locally may decrease transportation costs and reduce greenhouse emissions.


4) May make animal feed more digestible


5) Applicable to all types of plants",,Energy > Biomass/Bioenergy,,
Improving Thermal Energy Storage With Novel Metallic Composite Phase-Change Materials,Energy,Boston College,"March 10, 2017","March 10, 2017",proposal,,"1. High thermal conductivity

2. High stability

3. Long lifetime

4. Low vapor pressure",,Energy > Solar,,
Improving efficiency and productivity of titania catalysts with graphene,Water,Northwestern University,"December 15, 2015","December 15, 2015",proposal,,"1) Increased photo-capture area of catalyst.    


2) Improved conversion efficiency for UV and visible light.   ",,"Water > Water treatment
Other Areas > Other Areas",,
Improving the efficiency of intermediate band quantum dot solar cells,Energy,George Washington University,"July 18, 2014","December 21, 2015",proposal,,"1) Convert energy from a wide range of the solar spectrum into electrical energy


2) Quantum dot absorber spatially separated from the depletion region


3) No leakage current generated",,Energy > Solar,,
In situ Bioremediation of Groundwater Contaminated with Trichloroethylene & Perchloroethylene (TCE & PCE),Water,University of Massachusetts Amherst,"November 30, 2015","November 30, 2015",proposal,,"1.Formation of a biofilm provides tolerance to higher concentrations of the contaminant, allowing closer proximity to the source


2.Unique design prevents competition from other bacteria present in the groundwater environment


3.Overcomes limitations of current abiotic reductive chlorination and biotic techniques


4.The strain of Geobacter loveleyi isolated from anaerobic sub-surface environments and is well suited to groundwater environments",,"Pollution & Waste > Bio-remediation
Water > Water treatment
Pollution & Waste > Water",,
In-situ Remediation of Inorganic Contaminants and Heavy Metals from Soil,Pollution and Waste,Auburn University,"November 25, 2015","November 25, 2015",proposal,,"•Uses an inexpensive, easily available, and environmentally friendly stabilizer.


•Allows for easy control of soil mobility.


•Treats sub-surface regions where other methods fail (e.g., excavation, bioremediation).


•Inhibits formation of harmful by-products, such as methyl mercury.


•Reduces processing time and materials needed, thereby reducing costs.


•Prevents aggregation of nanoparticles, providing superior performance and enabling in situ use.


•Allows for application to the entire contaminated zone or for building a sorptive barrierIP Status.


•This process has been experimentally verified for mercury.",,Pollution & Waste > Land,,
InGaN Columnar Nano-Heterostructures for Solar Cells,Energy,Arizona Tech Enterprises (AzTE),"December 15, 2015","December 15, 2015",proposal,,"1) Provides High Quality GaN, InN, and InGaN Nano- and Micro-Columns   


2) High Efficiency   


3) High Luminescence   


4) Reduces Manufacturing Costs – uses chemical vapor   deposition as opposed to more expensive metal-organic chemical vapor deposition and molecular beam epitaxial manufacturing techniques   


5) Offers Favorable Perpendicular Column Growth",,Energy > Solar,,
Incentive mechanisms for behavior change,Energy,Stanford University,"November 30, 2015","November 30, 2015",proposal,,"1) Strong motivation - large random rewards are more attractive than small deterministic ones 


2) Scalable - can be used with large groups


3) Asynchronous and distributed award mechanism to minimize user overhead",,Energy > Other,,
Increase PV Power Output with Fine-Tuned Solar Tracking,Energy,University of Central Florida,"December 23, 2015","December 23, 2015",proposal,,"1) Maximized energy capture


2) Accuracy",,Energy > Solar,,
Increased Lifespan and Energy Output from Passively Cooled PV Modules,Energy,University of Central Florida,"March 10, 2017","March 10, 2017",proposal,,"1. Increased electrical output

2. Longer lifespan

3. Greater cooling effectiveness

4. Greater cell reliability

5. Compatibility with current manufacturing techniques",,"Energy > Solar
Energy > Energy efficiency",,
Increased Near-Infrared Light Harvesting in Dye-Sensitized Solar Cells using Co-sensitized Energy Relay Dyes on Titania,Energy,Stanford University,"September 14, 2012","August 08, 2012",proposal,Electricity,"This invention makes it possible to increase the power conversion efficiency of record dye-sensitized solar cells from 11% to 13%. Low efficiency DSCs are currently be commercialized 
 increasing the power conversion by >15% would greatly increase the market competitiveness of DSCs. It is also important to note that this technique may not require any additional processing steps and would result in a negligible cost. ",Device or equipment,Energy > Solar,Under R & D,
Increased Oil Yield in Oilseed Crops for Enhanced Biodiesel Production,Energy,Montana State University,"December 15, 2015","December 15, 2015",proposal,,"1) Increase oil yield for existing oilseed crops.


2) Expected to work on a broad range of oilseed crops.


3) Provides enhanced seed resistance to fungal diseases.",,Energy > Biomass/Bioenergy,,
Increased Precision of Harvest Yield Data,Farming and Forestry,Purdue Research Foundation,"January 19, 2017","January 19, 2017",proposal,,Sensors determine and map corn harvest yield for individual rowsIncreased limits on analysis performed on corn plotsAbility to vary application rates of agricultural input materials,,Farming & Forestry > Other,,
Increased-Flow Water Treatment Membranes Containing Nano Objects,Water,USC Stevens Center for Innovation,"November 25, 2015","November 25, 2015",proposal,,"1) Increased and persistent water flux with good reproducibility

2) Low energy consumption

3) Superior antifouling properties

4) Superior rejection properties",,Water > Water production,,
Increasing Photosynthetic Efficiency and Plant Productivity for Crop Improvement and Biofuel Production,Energy,North Carolina State University,"December 15, 2015","December 15, 2015",proposal,,"1) Enhanced photosynthetic efficiency and plant productivity.


2) Enhanced thermotolerance, drought resistance, delayed senescence, and protection from oxidative damage. 


3) Ability of plants to grow on marginal lands. 


4) Will enable large-scale and cost-competitive production of renewable jet fuel from Camelina.",,Energy > Biomass/Bioenergy,,
